Probe	1H	4H	10H	20H	28H	36H	44H	48H	72H	1W	4W
Pinx1	0.039167432	0.694600335	0.504833449	0.584818874	0.828863605	0.786804291	0.863424885	0.910285296	0.604209783	-0.113664557	-0.24831408
Asap2	-0.085885651	-0.208888939	-0.842015233	0.266449808	-0.504934075	-0.719121464	0.119440942	0.178638714	-0.113583485	0.269932193	0.324235761
Cry2	0.385296791	-1.194898745	0.201057635	-0.124612474	-0.378393916	-0.172068796	-0.354121988	-0.57957544	-0.455172576	0.110701114	0.10428961
7SK	0.077654309	-0.327392638	0.319128908	0.228080765	0.08297377	-0.386608063	-0.412316631	-0.370537183	-0.486642538	-0.268286115	-0.371310317
SNORD70	0.503294343	0.611258415	0.193914116	0.093703577	0.077088666	0.684648205	0.380085859	0.405734421	0.765843028	0.201808477	-0.091886396
Sdc3	-0.025697055	-0.366990845	-0.161830923	0.205905192	0.354705744	0.282571618	0.507606005	0.581816051	0.438460655	0.771422984	0.327693349
Gm17024	0.744453969	0.275083807	0.160839698	0.090743159	-0.154150197	0.000336404	-0.253543672	-0.03070733	-0.029106828	-0.191576535	-0.233432508
Cetn2	-0.544672682	-0.786639317	-0.732198142	0.103960377	0.05015678	0.092619922	0.267002753	0.295115295	0.24424116	-0.137433126	-0.351930091
Pth1r	-0.465939372	-1.247769528	-1.140011473	-0.46388132	-0.745338707	-0.526713026	-0.174263203	-0.290317375	-0.20275869	-0.067583775	-0.028130381
Emp1	-0.081802404	0.217662728	0.35782069	0.42658905	0.417926068	0.526653158	0.753830436	0.896427082	0.787491083	0.378609353	-0.169156222
Gm12750	0.000998891	-0.052256036	0.579169187	0.387780725	0.206303241	1.142395939	0.995489186	0.711013361	0.573695436	0.862750519	0.116508658
Spcs2	-0.241812012	-0.309858939	0.299504059	0.498953372	0.245872231	0.069473086	0.801921798	0.868710338	0.766881301	0.268738364	-0.007403677
Rora	0.674330954	-0.406418504	-0.23789216	0.114787539	-0.215570967	-0.476448527	-0.095966591	-0.073108523	0.309558841	0.153720272	0.150334531
Prpsap1	-0.314059115	-1.270511273	-0.218677102	0.184245574	-0.347386935	-0.004963934	-0.115283172	0.192899315	0.306544729	0.14967935	0.037144937
Card10	-0.121643729	-0.527619801	0.469761956	0.118001816	0.375203587	0.972365013	0.384126628	0.450810838	0.302202245	0.334029565	0.135772635
